ID,Precio,Referencia,Ubicacion,Ciudad,Habitaciones,Banos,Superficie,Planta,Web,Fecha,Enlace
163053506,2770,Ciutat Vella,1,2,80,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-se-aceptan-mascotas/163053506/d,Fotocasa,Barcelona,163055012,2022-04-03
163038788,1800,Ciutat Vella,2,2,80,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-amueblado/163038788/d,Fotocasa,Barcelona,163053507,2022-04-03
162969890,3000,Les Corts,4,2,150,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor/162969890/d,Fotocasa,Barcelona,163038789,2022-04-03
161974782,1600,Sant Andreu,2,1,45,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado-television-internet-piscina/161974782/d,Fotocasa,Barcelona,162969891,2022-04-03
163029286,1425,Ciutat Vella,2,1,60,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/163029286/d,Fotocasa,Barcelona,161974783,2022-04-03
163028775,1400,Ciutat Vella,2,1,60,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/163028775/d,Fotocasa,Barcelona,163029287,2022-04-03
163017766,6230,Sarrià - Sant Gervasi,4,4,289,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado-se-aceptan-mascotas/163017766/d,Fotocasa,Barcelona,163028776,2022-04-03
162990435,2000,Apartamento en Gràcia,2,1,73,5ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/162990435/d,Fotocasa,Barcelona,163017767,2022-04-03
162989819,2700,Sarrià - Sant Gervasi,5,3,200,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-parking-no-amueblado/162989819/d,Fotocasa,Barcelona,162990436,2022-04-03
162945732,1100,Sant Martí,3,1,70,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-se-aceptan-mascotas/162945732/d,Fotocasa,Barcelona,162989820,2022-04-03
162923739,2500,Sarrià - Sant Gervasi,4,3,160,5ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/162923739/d,Fotocasa,Barcelona,162945733,2022-04-03
162893187,2400,Apartamento en Gràcia,4,2,110,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor/162893187/d,Fotocasa,Barcelona,162923740,2022-04-03
162873915,2150,Sarrià - Sant Gervasi,3,3,113,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-terraza-ascensor/162873915/d,Fotocasa,Barcelona,162893188,2022-04-03
162806494,920,Ciutat Vella,1,1,43,Principal,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-television/162806494/d,Fotocasa,Barcelona,162873916,2022-04-03
162221915,2100,Ciutat Vella,2,2,75,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/162221915/d,Fotocasa,Barcelona,162806495,2022-04-03
161036963,1100,Ciutat Vella,2,1,84,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/161036963/d,Fotocasa,Barcelona,162221916,2022-04-03
